Component Name,Component Type,Description,Department,AI Model,Owner,Data Classification,Primary Risk Category,Primary Risk Severity,OWASP LLM Ref,NIST AI RMF Ref,EU AI Act Ref,EU AI Act Status,NIST AI RMF Status,OWASP LLM Status,ISO 42001 Status,Discovery Method,Assessment Status,Created Date,Last Reviewed Date
Salary Benchmarker,AI Use Case,"Analyses market salary data to recommend compensation ranges.",HR,GPT-4o,Priya Sharma,confidential,compliance,medium,,,,covered,covered,partial,covered,agent-campaign,owned,2026-03-10,2026-03-16
Report Generator,AI Use Case,"Generates financial reports and board packs from structured data using GPT-4o.",Finance,GPT-4o,Marco Rossi,restricted,compliance,high,LLM09,,Art. 9,partial,partial,partial,gap,agent-campaign,assessed,2026-02-01,2026-03-12
Budget Forecasting,AI Use Case,"Uses Claude to generate budget forecasts and variance analysis.",Finance,Claude 3.5 Sonnet,Marco Rossi,confidential,hallucination,medium,LLM09,,,covered,covered,covered,partial,agent-campaign,owned,2026-02-15,2026-03-14
Invoice Classifier,AI Use Case,"Automatically classifies and routes incoming invoices.",Finance,Gemini Pro,Marco Rossi,internal,hallucination,low,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-01,2026-03-17
Expense Anomaly Detector,AI Use Case,"Flags unusual expenses for compliance review.",Finance,Llama 3,Marco Rossi,confidential,bias,medium,,,,covered,partial,covered,partial,agent-campaign,owned,2026-03-05,2026-03-15
Earnings Summariser,AI Use Case,"Generates plain-language summaries of earnings reports.",Finance,Mistral Large,Marco Rossi,confidential,hallucination,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-08,2026-03-16
Risk Scoring,AI Use Case,"Custom ML model for enterprise-wide risk scoring.",Risk & Compliance,Custom Risk Model,Lisa Wang,restricted,bias,high,,MAP 5.1,Art. 10,partial,partial,partial,partial,agent-campaign,assessed,2026-01-15,2026-03-15
Regulatory Change Tracker,AI Use Case,"Monitors regulatory changes and flags relevant updates.",Risk & Compliance,GPT-4o,Lisa Wang,internal,compliance,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-02-01,2026-03-18
Policy Gap Analyzer,AI Use Case,"Identifies gaps between current policies and regulatory requirements.",Risk & Compliance,Claude 3.5 Sonnet,Lisa Wang,confidential,hallucination,high,,,,partial,covered,covered,partial,agent-campaign,owned,2026-02-15,2026-03-16
Audit Trail Generator,AI Use Case,"Automatically generates audit trails from system logs.",Risk & Compliance,Gemini Pro,Lisa Wang,internal,hallucination,low,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-01,2026-03-17
Sanctions Screener,AI Use Case,"Screens transactions and entities against sanctions lists.",Risk & Compliance,Mistral Large,Lisa Wang,confidential,compliance,high,,,,partial,partial,covered,partial,agent-campaign,assessed,2026-02-20,2026-03-15
Policy Risk Assessor,AI Use Case,"Custom model for underwriting policy risk assessment.",Underwriting,Custom Underwriting Model,Tom Bradley,restricted,bias,critical,,MAP 5.1,Art. 10,gap,partial,partial,gap,agent-campaign,assessed,2026-01-20,2026-03-14
Pricing Explainer,AI Use Case,"Explains pricing decisions to brokers and customers in plain language.",Underwriting,Claude 3.5 Sonnet,Tom Bradley,confidential,hallucination,high,,,,partial,covered,covered,partial,agent-campaign,owned,2026-02-10,2026-03-15
Risk Appetite Optimizer,AI Use Case,"Analyses portfolio composition against risk appetite framework.",Underwriting,GPT-4o,Tom Bradley,internal,compliance,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-01,2026-03-17
Portfolio Analyser,AI Use Case,"Deep-dives into portfolio concentration and diversification metrics.",Underwriting,Gemini Pro,Tom Bradley,confidential,hallucination,medium,,,,covered,partial,covered,partial,agent-campaign,owned,2026-03-05,2026-03-16
Renewal Predictor,AI Use Case,"Predicts customer renewal likelihood for retention campaigns.",Underwriting,Llama 3,Tom Bradley,confidential,bias,medium,,,,covered,covered,covered,covered,agent-campaign,compliant,2026-03-08,2026-03-18
