Component Name,Description,Custom ID,Department,Owner,Data Classification,Deployment Status,Risk Score,Tags
Policy Gap Analyzer,Identifies gaps between current policies and regulatory requirements.,app-policy-gap,Risk & Compliance,Lisa Wang,confidential,Active,55,"ai-system,risk,claude,owned"
Audit Trail Generator,Automatically generates audit trails from system logs.,app-audit-trail,Risk & Compliance,Lisa Wang,internal,Active,25,"ai-system,risk,gemini,compliant"
Sanctions Screener,Screens transactions and entities against sanctions lists.,app-sanctions,Risk & Compliance,Lisa Wang,confidential,Active,60,"ai-system,risk,mistral,assessed"
Policy Risk Assessor,Custom model for underwriting policy risk assessment.,app-policy-risk,Underwriting,Tom Bradley,restricted,Active,85,"ai-system,underwriting,custom-ml,assessed,high-risk"
Pricing Explainer,Explains pricing decisions to brokers and customers in plain language.,app-pricing-explainer,Underwriting,Tom Bradley,confidential,Active,55,"ai-system,underwriting,claude,owned"
Risk Appetite Optimizer,Analyses portfolio composition against risk appetite framework.,app-risk-appetite,Underwriting,Tom Bradley,internal,Active,35,"ai-system,underwriting,gpt-4o,compliant"
Portfolio Analyser,Deep-dives into portfolio concentration and diversification metrics.,app-portfolio,Underwriting,Tom Bradley,confidential,Active,45,"ai-system,underwriting,gemini,owned"
Renewal Predictor,Predicts customer renewal likelihood for retention campaigns.,app-renewal,Underwriting,Tom Bradley,confidential,Active,40,"ai-system,underwriting,llama,compliant"
CustomerServiceGPT,Production LLM for customer queries; order status; and product information handling.,app-spm-001,Customer Support,Sarah Mitchell,confidential,Active,72,"ai-system,spm,shadow-monitored"
LegalDocReviewer,Fine-tuned transformer for contract review; compliance checking; and risk assessment.,app-spm-002,Legal,James Chen,confidential,Active,28,"ai-system,spm"
HealthcareAnalytics,CNN model for medical imaging; diagnosis support; and patient monitoring.,app-spm-003,Healthcare,Dr Emily Watson,restricted,Active,89,"ai-system,spm,high-risk,non-compliant"
MarketingCopilot,RAG-based agent for content generation; campaign analysis; and SEO optimisation.,app-spm-004,Marketing,Unknown,confidential,Shadow,95,"ai-system,spm,shadow,high-risk,non-compliant"
FinancialForecast,Transformer model for revenue forecasting; risk modelling; and budget planning.,app-spm-005,Finance,Robert Williams,restricted,Active,22,"ai-system,spm"
HRAssistant,Agentic orchestrator for recruitment screening; employee queries; and policy guidance.,app-spm-006,Human Resources,Lisa Anderson,confidential,Active,58,"ai-system,spm"
CodeReviewer,Fine-tuned transformer for code review; bug detection; and security analysis.,app-spm-007,Engineering,Michael Brown,internal,Active,26,"ai-system,spm"
SalesPredictor,RAG-based agent for lead scoring; pipeline forecasting; and deal analysis.,app-spm-008,Sales,Unknown,confidential,Shadow,84,"ai-system,spm,shadow,high-risk,non-compliant"
SupplyChainOptimiser,Transformer model for inventory optimisation; route planning; and demand forecasting.,app-spm-009,Operations,Amanda Taylor,internal,Active,38,"ai-system,spm"
FraudDetector,CNN model for transaction monitoring; anomaly detection; and risk scoring.,app-spm-010,Risk Management,David Martinez,restricted,Active,15,"ai-system,spm"
ChatbotAlpha,RAG-based LLM for IT support; troubleshooting; and documentation search.,app-spm-011,IT,Unknown,confidential,Shadow,97,"ai-system,spm,shadow,high-risk,non-compliant"
ProductRecommender,Agentic orchestrator for product recommendations; personalisation; and cross-selling.,app-spm-012,E-commerce,Jessica Lee,confidential,Active,65,"ai-system,spm"
ContractAnalyser,Fine-tuned transformer for contract analysis; vendor assessment; and compliance checking.,app-spm-013,Procurement,Thomas Green,confidential,Active,29,"ai-system,spm"
SentimentAnalyser,Transformer model for social media monitoring; review analysis; and brand sentiment.,app-spm-014,Customer Insights,Maria Rodriguez,confidential,Active,52,"ai-system,spm"
ImageClassifier,CNN model for defect detection; quality control; and product inspection.,app-spm-015,Quality Assurance,Kevin Park,internal,Active,12,"ai-system,spm"
Claims Assessment AI,Production Azure OpenAI model for automated claims evaluation (45;200 inferences/month).,app-vis-claims,Claims,Claims Director,restricted,Active,,"ai-system,visibility,production"
Kundeservice Chatbot,Production Anthropic Claude chatbot for customer service (156;000 inferences/month).,app-vis-chatbot,Customer Service,Customer Service Manager,confidential,Active,,"ai-system,visibility,production"
Underwriting Risk Engine,Production custom ML risk scoring model (8;520 inferences/month). Review needed.,app-vis-underwriting,Underwriting,Underwriting Director,restricted,Active,,"ai-system,visibility,production,review-needed"
Fraud Detection System,Production TensorFlow anomaly detection system (34;000 inferences/month).,app-vis-fraud,Risk,Risk Director,restricted,Active,,"ai-system,visibility,production"
Document Processing AI,Production Google Document AI for document understanding (28;400 inferences/month).,app-vis-docproc,Operations,Operations Manager,confidential,Active,,"ai-system,visibility,production"
